alrinfo        0     0 FORMAT,
") This file contains data from Applied Linear Regression, 2nd Edition, by
) Sanford Weisberg, John Wiley, 1985",
") Data sets have names of the form 'alrxxx' where xxx is the page number,
) except when there are two sets on a page when they are named 'alrxxxa' 
and",
) 'alrxxxb'.,
alr3          17     5 FORMAT,
"(F2.0,F6.1,F6.2,F7.4,F7.2)",
1,194.5 20.79 1.3179 131.79
2,194.3 20.79 1.3179 131.79
3,197.9 22.40 1.3502 135.02
4,198.4 22.67 1.3555 135.55
5,199.4 23.15 1.3646 136.46
6,199.9 23.35 1.3683 136.83
7,200.9 23.89 1.3782 137.82
8,201.1 23.99 1.3800 138.00
9,201.4 24.02 1.3806 138.06
10,201.3 24.01 1.3804 138.04
11,203.6 25.14 1.4004 140.04
12,204.6 26.57 1.4244 142.44
13,209.5 28.49 1.4547 145.47
14,208.6 27.76 1.4434 144.34
15,210.7 29.04 1.4630 146.30
16,211.9 29.88 1.4754 147.54
17,212.2 30.06 1.4780 147.80
alr27         10     2 FORMAT,
"(F5.1,F6.2)",
169.6 71.20,
166.8 58.20,
157.1 56.00,
181.1 64.50,
158.4 53.00,
165.6 52.40,
166.7 56.80,
156.5 49.20,
168.1 55.60,
165.3 77.80,
alr28         31     2 FORMAT,
"(F5.1,F7.3)",
210.8 29.211,
210.2 28.559,
208.4 27.972,
202.5 24.697,
200.6 23.726,
200.1 23.369,
199.5 23.030,
197.0 21.892,
196.4 21.928,
196.3 21.654,
195.6 21.605,
193.4 20.480,
193.6 20.212,
191.4 19.758,
191.1 19.490
190.6 19.386
189.5 18.869
188.8 18.356
188.5 18.507
185.7 17.267
186.0 17.221
185.6 17.062
184.1 16.959
184.6 16.881
184.1 16.817
183.2 16.385
182.4 16.235
181.9 16.106
181.9 15.928
181.0 15.919
180.6 15.376
"alr29         15     3 FORMAT
(F5.0,F7.1,F2.0)"
"1,009.900"
"20,019.800"
"40,043.800"
"800,103.000"
"1,500,212.500"
"5,000,785.600"
"100,001,658.400"
"421,957,761.000"
"10,011.010"
"20,021.810"
"40,048.810"
"800,113.510"
"1,500,236.610"
"3,000,516.010"
"(F4.0,2F6.2)",
1962 25.82 18.24,
1963 25.35 16.50,
1964 24.29 20.26,
1965 24.05 20.97,
1966 24.89 19.43,
1967 25.35 19.31,
1968 25.23 20.85,
1969 25.06 19.54,
1970 27.13 20.49,
1971 27.36 21.91,
1972 26.65 22.51,
1973 27.13 18.81,
1974 27.49 19.42,
1975 27.08 19.10,
1976 27.51 18.80,
1977 27.54 18.80,
1978 26.21 17.57,
alr35         48     8 FORMAT,
"(5X,F6.0,F6.2,F6.0,F6.3,F7.3,F6.0,F5.1,F4.0)",
1,ME  1029  9.00   540 3.571  1.976   557 52.5 541
2,NH   771  9.00   441 4.092  1.250   404 57.2 524
3,VT   462  9.00   268 3.865  1.586   259 58.0 561
4,MA  5787  7.50  3060 4.870  2.351  2396 52.9 414
5,RI   968  8.00   527 4.399   .431   397 54.4 410
6,CN  3082 10.00  1760 5.342  1.333  1408 57.1 457
7,NY 18366  8.00  8278 5.319 11.868  6312 45.1 344
8,NJ  7367  8.00  4074 5.126  2.138  3439 55.3 467
9,PA 11926  8.00  6312 4.447  8.577  5528 52.9 464
10,OH 10783  7.00  5948 4.512  8.507  5375 55.2 498
11,IN  5291  8.00  2804 4.391  5.939  3068 53.0 580
12,IL 11251  7.50  5903 5.126 14.186  5301 52.5 471
13,MI  9082  7.00  5213 4.817  6.930  4768 57.4 525
14,WI  4520  7.00  2465 4.207  6.580  2294 54.5 508
15,MN  3896  7.00  2368 4.332  8.159  2204 60.8 566
16,IA  2883  7.00  1689 4.318 10.340  1830 58.6 635
17,MO  4753  7.00  2719 4.206  8.508  2865 57.2 603
18,ND   632  7.00   341 3.718  4.725   451 54.0 714
19,SD   579  7.00   419 4.716  5.915   501 72.4 865
20,NE  1525  8.50  1033 4.341  6.010   976 67.7 640
21,KS  2258  7.00  1496 4.593  7.834  1466 66.3 649
22,DE   565  8.00   340 4.983   .602   305 60.2 540
